data_path,case_name
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_01137,BraTS2021_01137
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_01659,BraTS2021_01659
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_01483,BraTS2021_01483
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_01317,BraTS2021_01317
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_01523,BraTS2021_01523
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_01633,BraTS2021_01633
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_01098,BraTS2021_01098
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_01128,BraTS2021_01128
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_01117,BraTS2021_01117
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_00281,BraTS2021_00281
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_01577,BraTS2021_01577
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_01422,BraTS2021_01422
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_01059,BraTS2021_01059
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_00804,BraTS2021_00804
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_00077,BraTS2021_00077
/home/work/3D_/seondeok/project/3d_segmentation/SegFormer3D/data/brats2021_seg/BraTS2021_training_data/BraTS2021_01040,BraTS2021_01040
